udp,orig=(src=65.10.10.243,dst=65.10.11.133,sport=63392,dport=6081),reply=(src=65.10.11.133,dst=65.10.10.243,sport=6081,dport=63392)
udp,orig=(src=65.10.11.133,dst=65.10.10.254,sport=45526,dport=6081),reply=(src=65.10.10.254,dst=65.10.11.133,sport=6081,dport=45526)
udp,orig=(src=65.10.11.133,dst=65.10.11.110,sport=25330,dport=6081),reply=(src=65.10.11.110,dst=65.10.11.133,sport=6081,dport=25330)
udp,orig=(src=65.10.11.133,dst=65.10.11.179,sport=28563,dport=6081),reply=(src=65.10.11.179,dst=65.10.11.133,sport=6081,dport=28563)
udp,orig=(src=65.10.11.133,dst=65.10.11.9,sport=28563,dport=6081),reply=(src=65.10.11.9,dst=65.10.11.133,sport=6081,dport=28563)
udp,orig=(src=65.10.11.133,dst=65.10.11.39,sport=52275,dport=6081),reply=(src=65.10.11.39,dst=65.10.11.133,sport=6081,dport=52275)
udp,orig=(src=65.10.11.133,dst=65.10.10.213,sport=32085,dport=6081),reply=(src=65.10.10.213,dst=65.10.11.133,sport=6081,dport=32085)
udp,orig=(src=65.10.11.97,dst=65.10.11.133,sport=59205,dport=6081),reply=(src=65.10.11.133,dst=65.10.11.97,sport=6081,dport=59205)
udp,orig=(src=65.10.11.166,dst=65.10.11.133,sport=21256,dport=6081),reply=(src=65.10.11.133,dst=65.10.11.166,sport=6081,dport=21256)
udp,orig=(src=65.10.11.133,dst=65.10.11.165,sport=23411,dport=6081),reply=(src=65.10.11.165,dst=65.10.11.133,sport=6081,dport=23411)
udp,orig=(src=65.10.11.133,dst=65.10.10.184,sport=28563,dport=6081),reply=(src=65.10.10.184,dst=65.10.11.133,sport=6081,dport=28563)
udp,orig=(src=65.10.11.133,dst=65.10.10.231,sport=28563,dport=6081),reply=(src=65.10.10.231,dst=65.10.11.133,sport=6081,dport=28563)
udp,orig=(src=65.10.11.133,dst=65.10.18.117,sport=50093,dport=6081),reply=(src=65.10.18.117,dst=65.10.11.133,sport=6081,dport=50093)
udp,orig=(src=65.10.11.133,dst=65.10.11.71,sport=36724,dport=6081),reply=(src=65.10.11.71,dst=65.10.11.133,sport=6081,dport=36724)
udp,orig=(src=65.10.11.133,dst=65.10.11.76,sport=28563,dport=6081),reply=(src=65.10.11.76,dst=65.10.11.133,sport=6081,dport=28563)
tcp,orig=(src=20.20.117.248,dst=20.20.0.12,sport=36944,dport=1235),reply=(src=20.20.0.12,dst=20.20.117.248,sport=1235,dport=36944),protoinfo=(state=ESTABLISHED)
udp,orig=(src=65.10.11.18,dst=65.10.11.133,sport=60540,dport=6081),reply=(src=65.10.11.133,dst=65.10.11.18,sport=6081,dport=60540)
tcp,orig=(src=127.0.0.1,dst=127.0.0.1,sport=53732,dport=4096),reply=(src=127.0.0.1,dst=127.0.0.1,sport=4096,dport=53732),protoinfo=(state=ESTABLISHED)
udp,orig=(src=65.10.10.242,dst=65.10.11.133,sport=56168,dport=6081),reply=(src=65.10.11.133,dst=65.10.10.242,sport=6081,dport=56168)
udp,orig=(src=65.10.11.133,dst=65.10.11.46,sport=64451,dport=6081),reply=(src=65.10.11.46,dst=65.10.11.133,sport=6081,dport=64451)
udp,orig=(src=65.10.11.6,dst=65.10.11.133,sport=54027,dport=6081),reply=(src=65.10.11.133,dst=65.10.11.6,sport=6081,dport=54027)
udp,orig=(src=65.10.11.133,dst=65.10.11.23,sport=46044,dport=6081),reply=(src=65.10.11.23,dst=65.10.11.133,sport=6081,dport=46044)
udp,orig=(src=65.10.11.133,dst=65.10.11.54,sport=51315,dport=6081),reply=(src=65.10.11.54,dst=65.10.11.133,sport=6081,dport=51315)
udp,orig=(src=65.10.11.133,dst=65.10.10.214,sport=64202,dport=6081),reply=(src=65.10.10.214,dst=65.10.11.133,sport=6081,dport=64202)
udp,orig=(src=65.10.11.68,dst=65.10.11.133,sport=52705,dport=6081),reply=(src=65.10.11.133,dst=65.10.11.68,sport=6081,dport=52705)
udp,orig=(src=65.10.11.133,dst=65.10.10.242,sport=8606,dport=6081),reply=(src=65.10.10.242,dst=65.10.11.133,sport=6081,dport=8606)
udp,orig=(src=65.10.11.133,dst=65.10.11.40,sport=28563,dport=6081),reply=(src=65.10.11.40,dst=65.10.11.133,sport=6081,dport=28563)
udp,orig=(src=65.10.11.133,dst=65.10.11.16,sport=61715,dport=6081),reply=(src=65.10.11.16,dst=65.10.11.133,sport=6081,dport=61715)
udp,orig=(src=65.10.11.133,dst=65.10.10.229,sport=28389,dport=6081),reply=(src=65.10.10.229,dst=65.10.11.133,sport=6081,dport=28389)
udp,orig=(src=65.10.18.54,dst=65.10.11.133,sport=13684,dport=6081),reply=(src=65.10.11.133,dst=65.10.18.54,sport=6081,dport=13684)
tcp,orig=(src=20.20.0.2,dst=20.20.117.248,sport=33298,dport=22),reply=(src=20.20.117.248,dst=20.20.0.2,sport=22,dport=33298),protoinfo=(state=ESTABLISHED)
udp,orig=(src=65.10.11.133,dst=65.10.10.193,sport=35914,dport=6081),reply=(src=65.10.10.193,dst=65.10.11.133,sport=6081,dport=35914)
udp,orig=(src=65.10.10.232,dst=65.10.11.133,sport=50445,dport=6081),reply=(src=65.10.11.133,dst=65.10.10.232,sport=6081,dport=50445)
udp,orig=(src=65.10.11.148,dst=65.10.11.133,sport=59837,dport=6081),reply=(src=65.10.11.133,dst=65.10.11.148,sport=6081,dport=59837)
udp,orig=(src=65.10.11.133,dst=65.10.11.154,sport=14020,dport=6081),reply=(src=65.10.11.154,dst=65.10.11.133,sport=6081,dport=14020)
udp,orig=(src=65.10.18.82,dst=65.10.11.133,sport=33677,dport=6081),reply=(src=65.10.11.133,dst=65.10.18.82,sport=6081,dport=33677)
udp,orig=(src=65.10.11.133,dst=65.10.10.248,sport=37599,dport=6081),reply=(src=65.10.10.248,dst=65.10.11.133,sport=6081,dport=37599)
udp,orig=(src=65.10.11.12,dst=65.10.11.133,sport=63432,dport=6081),reply=(src=65.10.11.133,dst=65.10.11.12,sport=6081,dport=63432)
udp,orig=(src=65.10.11.133,dst=65.10.11.102,sport=28563,dport=6081),reply=(src=65.10.11.102,dst=65.10.11.133,sport=6081,dport=28563)
